geo,age,sex,citizen,acceptance_rate
Belgium,65 years or over,Females,Total,0.3867924528301887
Belgium,65 years or over,Females,Türkiye,1.0
Belgium,65 years or over,Females,Venezuela,0.3333333333333333
Belgium,65 years or over,Males,Afghanistan,0.7777777777777778
Belgium,65 years or over,Males,Albania,0.0
Belgium,65 years or over,Males,Armenia,0.0
Belgium,65 years or over,Males,Burundi,1.0
Belgium,65 years or over,Males,Democratic Republic of the Congo,0.0
Belgium,65 years or over,Males,El Salvador,0.0
Belgium,65 years or over,Males,Eritrea,1.0
Belgium,65 years or over,Males,Georgia,0.0
Belgium,65 years or over,Males,Iran,0.5
Belgium,65 years or over,Males,Iraq,0.0
Belgium,65 years or over,Males,Kosovo*,0.0
Belgium,65 years or over,Males,Moldova,0.0
Belgium,65 years or over,Males,Palestine*,0.875
Belgium,65 years or over,Males,Russia,0.0
Belgium,65 years or over,Males,Serbia,0.0
Belgium,65 years or over,Males,Somalia,1.0
Belgium,65 years or over,Males,Sudan,1.0
Belgium,65 years or over,Males,Syria,1.0
Belgium,65 years or over,Males,Total,0.47368421052631576
Belgium,65 years or over,Males,Türkiye,1.0
Belgium,65 years or over,Males,Venezuela,0.5
Belgium,From 14 to 17 years,Females,Afghanistan,0.9354838709677419
Belgium,From 14 to 17 years,Females,Albania,0.0
Belgium,From 14 to 17 years,Females,Algeria,0.0
Belgium,From 14 to 17 years,Females,Angola,0.0
Belgium,From 14 to 17 years,Females,Armenia,0.0
Belgium,From 14 to 17 years,Females,Benin,0.0
Belgium,From 14 to 17 years,Females,Bosnia and Herzegovina,0.0
Belgium,From 14 to 17 years,Females,Brazil,0.0
Belgium,From 14 to 17 years,Females,Burundi,0.9259259259259259
Belgium,From 14 to 17 years,Females,Colombia,0.2222222222222222
Belgium,From 14 to 17 years,Females,Democratic Republic of the Congo,0.2727272727272727
Belgium,From 14 to 17 years,Females,El Salvador,0.07142857142857142
Belgium,From 14 to 17 years,Females,Eritrea,0.9545454545454546
Belgium,From 14 to 17 years,Females,Georgia,0.0
Belgium,From 14 to 17 years,Females,Guatemala,0.0
Belgium,From 14 to 17 years,Females,Guinea,0.5555555555555556
Belgium,From 14 to 17 years,Females,Iran,0.5714285714285714
Belgium,From 14 to 17 years,Females,Iraq,0.26666666666666666
Belgium,From 14 to 17 years,Females,Kosovo*,0.0
Belgium,From 14 to 17 years,Females,Lebanon,0.0
Belgium,From 14 to 17 years,Females,Libya,1.0
Belgium,From 14 to 17 years,Females,Mauritania,0.0
Belgium,From 14 to 17 years,Females,Moldova,0.0
Belgium,From 14 to 17 years,Females,North Macedonia,0.0
Belgium,From 14 to 17 years,Females,Pakistan,0.0
Belgium,From 14 to 17 years,Females,Palestine*,0.8214285714285714
Belgium,From 14 to 17 years,Females,Peru,0.0
Belgium,From 14 to 17 years,Females,Russia,0.5714285714285714
Belgium,From 14 to 17 years,Females,Rwanda,0.3333333333333333
